category,median_volatility,mean_volatility,market_count,observation_count,avg_volume
Crypto Airdrops,0.0317073548236139,0.03223354298587249,7,856,659324.9165871319
Crypto Corporate,0.0157359158493889,0.024270353415126015,5,677,2592555.851237487
Other,0.014556948921555,0.021431318906501087,3,724,8131064.656047526
Hockey,0.0026435005651777,0.006310633985475506,3,866,55969580.681711756
Basketball,0.0008091735937126,0.002487910660334144,23,6737,139368848.596064
Football / Soccer,0.000377964473012,0.001512411124966865,46,10471,27790008.7425524
US Elections,0.0003779644730092,0.0008868015351398754,73,21467,28278589.277352896
