term,coef,std_err,t_value,p_value,conf_low,conf_high
"C(category, Treatment(reference='US Elections'))[T.Basketball]",0.0019867249375566877,0.00015353283464239896,12.940065505753662,3.2024765654557705e-38,0.0016857968240673136,0.002287653051046062
"C(category, Treatment(reference='US Elections'))[T.Football / Soccer]",0.001091351132711038,0.00015569899516283694,7.00936529211158,2.4326163319863813e-12,0.0007861772915866024,0.0013965249738354737
"C(category, Treatment(reference='US Elections'))[T.Hockey]",0.004066451788729899,0.00018293138435560992,22.229382907991937,8.41183377328585e-109,0.0037079017982972256,0.004425001779162572
"C(category, Treatment(reference='US Elections'))[T.Other]",0.0047308088023531,0.00022871253732202146,20.684518906334553,1.5291550762206103e-94,0.00428252663165007,0.00517909097305613
Intercept,0.007130269980045759,0.0004167617175989097,17.108745066906337,2.2074720111000953e-65,0.0063134068136504904,0.007947133146441028
bid_ask_spread,0.1783360432514594,0.004136799456854892,43.10966608641067,0.0,0.17022781507124818,0.18644427143167064
log_volume,-0.00048033322074239463,2.261165333376436e-05,-21.24272885544143,1.4035740919798158e-99,-0.0005246526146782527,-0.0004360138268065366
prob_level,0.01529951107488347,0.00022228531332590528,68.82825880831801,0.0,0.014863826420513865,0.01573519572925307
recent_volatility_7d,0.22590125642385134,0.0038343582511782765,58.91501044651557,0.0,0.21838582040876686,0.2334166924389358
time_to_expiry_days,1.0888581569399289e-06,1.758349170340221e-07,6.192502463712863,5.98026422451608e-10,7.442174161377884e-07,1.4334988977420693e-06
